seqno;heartbeats;pulse;timestamp
94;37;87;2013-08-20 20:46:20.534
103;40;87;2013-08-20 20:46:22.747
104;41;88;2013-08-20 20:46:22.998
108;42;88;2013-08-20 20:46:23.977
109;43;89;2013-08-20 20:46:24.227
48;15;85;2013-08-20 20:47:24.813
49;15;85;2013-08-20 20:47:25.058
50;16;86;2013-08-20 20:47:25.312
52;16;86;2013-08-20 20:47:25.798
53;17;87;2013-08-20 20:47:26.047
60;19;87;2013-08-20 20:47:27.767
61;20;86;2013-08-20 20:47:28.017
71;23;86;2013-08-20 20:47:30.477
72;24;87;2013-08-20 20:47:30.727
74;24;87;2013-08-20 20:47:31.217
75;25;88;2013-08-20 20:47:31.467
76;25;88;2013-08-20 20:47:31.707
77;26;89;2013-08-20 20:47:31.957
79;26;89;2013-08-20 20:47:32.447
80;27;90;2013-08-20 20:47:32.697
81;27;90;2013-08-20 20:47:32.937
82;28;91;2013-08-20 20:47:33.187
92;31;91;2013-08-20 20:47:35.647
93;32;90;2013-08-20 20:47:35.899
100;34;90;2013-08-20 20:47:37.622
101;35;89;2013-08-20 20:47:37.867
119;41;89;2013-08-20 20:47:42.295
120;42;90;2013-08-20 20:47:42.547
122;42;90;2013-08-20 20:47:43.037
123;43;91;2013-08-20 20:47:43.287
124;43;91;2013-08-20 20:47:43.527
125;44;92;2013-08-20 20:47:43.777
127;44;92;2013-08-20 20:47:44.267
128;45;93;2013-08-20 20:47:44.518
129;45;93;2013-08-20 20:47:44.766
130;46;94;2013-08-20 20:47:45.007
131;47;94;2013-08-20 20:47:45.257
132;48;105;2013-08-20 20:47:45.507
136;49;105;2013-08-20 20:47:46.487
137;50;108;2013-08-20 20:47:46.737
154;54;108;2013-08-20 20:47:50.916
155;55;102;2013-08-20 20:47:51.168
158;55;102;2013-08-20 20:47:51.905
159;56;98;2013-08-20 20:47:52.143
160;56;98;2013-08-20 20:47:52.397
162;57;93;2013-08-20 20:47:52.887
165;57;93;2013-08-20 20:47:53.632
166;58;90;2013-08-20 20:47:53.877
167;58;90;2013-08-20 20:47:54.124
170;59;87;2013-08-20 20:47:54.856
172;59;87;2013-08-20 20:47:55.359
173;60;85;2013-08-20 20:47:55.596
176;60;85;2013-08-20 20:47:56.338
177;61;82;2013-08-20 20:47:56.588
180;61;82;2013-08-20 20:47:57.327
181;62;80;2013-08-20 20:47:57.567
183;62;80;2013-08-20 20:47:58.067
184;63;79;2013-08-20 20:47:58.307
185;64;79;2013-08-20 20:47:58.557
186;65;89;2013-08-20 20:47:58.803
220;78;89;2013-08-20 20:48:07.180
221;79;88;2013-08-20 20:48:07.417
223;79;88;2013-08-20 20:48:07.918
224;80;87;2013-08-20 20:48:08.157
226;80;87;2013-08-20 20:48:08.657
227;81;85;2013-08-20 20:48:08.897
229;81;85;2013-08-20 20:48:09.397
230;82;84;2013-08-20 20:48:09.637
232;82;84;2013-08-20 20:48:10.128
233;83;83;2013-08-20 20:48:10.377
236;83;83;2013-08-20 20:48:11.116
237;84;82;2013-08-20 20:48:11.368
245;86;82;2013-08-20 20:48:13.338
246;87;81;2013-08-20 20:48:13.578
248;87;81;2013-08-20 20:48:14.068
249;88;80;2013-08-20 20:48:14.317
252;88;80;2013-08-20 20:48:15.057
